DPA_PROVIN,DPA_DESPRO,Population_2010
90,ZONA NO DELIMITADA ,32384
02,BOLIVAR,183641
03,CAÑAR,225184
01,AZUAY,712127
06,CHIMBORAZO,458581
07,EL ORO,600659
04,CARCHI,164524
05,COTOPAXI,409205
08,ESMERALDAS,534092
09,GUAYAS,3645483
14,MORONA SANTIAGO,147940
24,SANTA ELENA,308693
20,GALAPAGOS,25124
21,SUCUMBIOS,176472
11,LOJA,448966
10,IMBABURA,398244
13,MANABI,1369780
12,LOS RIOS,778115
15,NAPO,103697
22,ORELLANA,136396
17,PICHINCHA,2576287
16,PASTAZA,83933
19,ZAMORA CHINCHIPE,91376
18,TUNGURAHUA,504583
23,SANTO DOMINGO DE LOS TSACHILAS,368013
